BoardGameId;Rank;ImageSource;Title;ReleaseYear;Description;GeekRating;AvgerageRating;NumVoters;DistributorPrice
25;81;Dominant_Species.jpg;Dominant Species;2010;With an ice age approaching, which animals will best propagate, migrate, and adapt?;7608;7.83;19094;35.00
26;56;Kingdom_Death_Monster.jpg;Kingdom Death: Monster;2015;Try to survive in a nightmarish world that lies under eternal darkness.;7708;8.57;8368;64.69
27;50;Power_Grid.jpg;Power Grid;2004;Bid, network, and manage resources in a race to supply the most cities with power.;7732;7.84;59745;29.00
28;92;Mombasa.jpg;Mombasa;2015;Acquire shares of unique companies and propagate their trading posts to rake in cash.;7545;7.87;11940;36.07
29;75;Teotihuacan_City_of_Gods.jpg;Teotihuacan: City of Gods;2018;Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.;7635;7.91;16046;40.00
30;77;Agricola_(Revised_Edition).jpg;Agricola (Revised Edition);2016;Help your farm to prosper in this updated, streamlined edition of the acclaimed game.;7623;7.99;12660;40.00
31;26;Root.jpg;Root;2018;Decide the fate of the forest as woodland factions fight for contrasting goals.;7893;8.10;34628;60.00
32;34;Food_Chain_Magnate.png;Food Chain Magnate;2015;Strategically hire and manage your workforce to outcompete rival fast food chains.;7834;8.11;16235;100.00
33;73;Robinson_Crusoe_Adventures_on_the_Cursed_Island.jpg;Robinson Crusoe: Adventures on the Cursed Island;2012;Work together ? with friends or with Friday ? to survive on a deserted island.;7637;7.81;38262;65.00
34;35;Puerto_Rico.jpg;Puerto Rico;2002;Ship goods, construct buildings, and choose roles that benefit you more than others.;7826;7.96;66394;19.99
35;16;The_Castles_of_Burgundy.jpg;The Castles of Burgundy;2011;Plan, trade, and build your Burgundian estate to prosperity and prominence.;8004;8.12;52439;49.99
36;11;Through_the_Ages_A_New_Story_of_Civilization.jpg;Through the Ages: A New Story of Civilization;2015;Rewrite history as you build up your civilization in this epic card drafting game!;8135;8.37;26615;41.00
37;44;Underwater_Cities.png;Underwater Cities;2018;Develop future cities on the seafloor through politics, production, and science.;7777;8.10;13857;80.00
38;51;On_Mars.jpg;On Mars;2020;Be a part of the first Martian colony, striving to be the best contributor.;7721;8.25;8567;110.00
39;83;Tainted_Grail_The_Fall_of_Avalon.jpg;Tainted Grail: The Fall of Avalon;2019;Exploration, battle and diplomacy in a dark Arthurian realm.;7586;8.22;8913;185.00
40;13;Twilight_Struggle.jpg;Twilight Struggle;2005;Relive the Cold War and rewrite history in an epic clash between the USA and USSR.;8107;8.27;43957;40.00
41;39;Blood_Rage.jpg;Blood Rage;2015;Ragnarok has come! Secure your place in Valhalla in epic Viking battles.;7808;7.98;39260;65.00
42;78;7_Wonders.jpg;7 Wonders;2010;Draft cards to develop your ancient civilization and build its Wonder of the World.;7621;7.72;92456;19.99
43;42;Pax_Pamir_Second_Edition.png;Pax Pamir: Second Edition;2019;"Swing the tides of "The Great Game" as countries vie for control of Afghanistan.";7782;8.35;7991;89.00
44;100;Patchwork.jpg;Patchwork;2014;Piece together a quilt and leave no holes to become the button master.;7524;7.63;54740;35.00
45;54;Star_Wars_Imperial_Assault.jpg;Star Wars: Imperial Assault;2014;Play as Rebel or Imperial forces to fulfill mission objectives.;7.71;7.99;22313;99.95
46;46;Mansions_of_Madness_Second_Edition.jpg;Mansions of Madness: Second Edition;2016;Unravel mysteries in Arkham with your investigative team in this app-guided game.;7769;8.01;29900;80.00
